,company_name,paper_url,authors,title,description,excluded_tags,author_name,exclusion_reason
471,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:IWHjjKOFINEC,"Bogdan Kulynych, Hsiang Hsu, Carmela Troncoso, Flavio P Calmon",arbitrary decisions are a hidden cost of differentially private training," Mechanisms used in privacy-preserving machine learning often aim to guarantee differential privacy (DP) during model training. Practical DP-ensuring training methods use randomization when fitting model parameters to privacy-sensitive data (e.g., adding Gaussian noise to clipped gradients). We demonstrate that such randomization incurs predictive multiplicity: for a given input example, the output predicted by equally-private models depends on the randomness used in training. Thus, for a given input, the predicted output can vary drastically if a model is re-trained, even if the same training dataset is used. The predictive-multiplicity cost of DP training has not been studied, and is currently neither audited for nor communicated to model designers and stakeholders. We derive a bound on the number of re-trainings required to estimate predictive multiplicity reliably. We analyze—both theoretically and through …",,,['no_author_name']
472,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:MXK_kJrjxJIC,"Hsiang Hsu, Salman Salamatian, Flavio P Calmon",correspondence analysis using neural networks,"Correspondence analysis (CA) is a multivariate statistical tool used to visualize and interpret data dependencies. CA has found applications in fields ranging from epidemiology to social sciences. However, current methods used to perform CA do not scale to large, high-dimensional datasets. By re-interpreting the objective in CA using an information-theoretic tool called the principal inertia components, we demonstrate that performing CA is equivalent to solving a functional optimization problem over the space of finite variance functions of two random variable. We show that this optimization problem, in turn, can be efficiently approximated by neural networks. The resulting formulation, called the correspondence analysis neural network (CA-NN), enables CA to be performed at an unprecedented scale. We validate the CA-NN on synthetic data, and demonstrate how it can be used to perform CA on a variety of datasets, including food recipes, wine compositions, and images. Our results outperform traditional methods used in CA, indicating that CA-NN can serve as a new, scalable tool for interpretability and visualization of complex dependencies between random variables.",,,['no_author_name']
473,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:RHpTSmoSYBkC,"Hsiang Hsu, Flavio P Calmon",rashomon capacity: measuring predictive multiplicity in probabilistic classification,"Predictive multiplicity occurs when classification models with nearly indistinguishable average performances assign conflicting predictions to individual samples. When used for decision-making in applications of consequence (eg, lending, education, criminal justice), models developed without regard for predictive multiplicity may result in unjustified and arbitrary decisions for specific individuals. We introduce a new measure of predictive multiplicity in probabilistic classification called Rashomon Capacity. We show that Rashomon Capacity yields principled strategies for disclosing conflicting models to stakeholders. Our numerical experiments illustrate how Rashomon Capacity captures predictive multiplicity in various datasets and learning models, including neural networks. The tools introduced in this paper can help data scientists measure, report, and ultimately resolve predictive multiplicity prior to model deployment. Full paper available at https://arxiv. org/abs/2206.01295.",,,['no_author_name']
475,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:Wp0gIr-vW9MC,"Antoine Wehenkel, Jens Behrmann, Hsiang Hsu, Guillermo Sapiro, Gilles Louppe, Jörn-Henrik Jacobsen",robust hybrid learning with expert augmentation,"Hybrid modelling reduces the misspecification of expert models by combining them with machine learning (ML) components learned from data. Similarly to many ML algorithms, hybrid model performance guarantees are limited to the training distribution. Leveraging the insight that the expert model is usually valid even outside the training domain, we overcome this limitation by introducing a hybrid data augmentation strategy termed \textit{expert augmentation}. Based on a probabilistic formalization of hybrid modelling, we demonstrate that expert augmentation, which can be incorporated into existing hybrid systems, improves generalization. We empirically validate the expert augmentation on three controlled experiments modelling dynamical systems with ordinary and partial differential equations. Finally, we assess the potential real-world applicability of expert augmentation on a dataset of a real double pendulum.",,,['no_author_name']
476,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:YOwf2qJgpHMC,"Hsiang Hsu, Salman Salamatian, Flavio P Calmon",generalizing correspondence analysis for applications in machine learning,"Correspondence analysis (CA) is a multivariate statistical tool used to visualize and interpret data dependencies by finding maximally correlated embeddings of pairs of random variables. CA has found applications in fields ranging from epidemiology to social sciences. However, current methods for CA do not scale to large, high-dimensional datasets. In this paper, we provide a novel interpretation of CA in terms of an information-theoretic quantity called the principal inertia components. We show that estimating the principal inertia components, which consists in solving a functional optimization problem over the space of finite variance functions of two random variable, is equivalent to performing CA. We then leverage this insight to design algorithms to perform CA at scale. Specifically, we demonstrate how the principal inertia components can be reliably approximated from data using deep neural networks. Finally …",,,['no_author_name']
477,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:ZeXyd9-uunAC,"Antoine Wehenkel, Jens Behrmann, Hsiang Hsu, Guillermo Sapiro, Gilles Louppe, Jörn-Henrik Jacobsen",improving generalization with physical equations,"Hybrid modelling reduces the misspecification of expert physical models with a machine learning (ML) component learned from data. Similarly to many ML algorithms, hybrid model performance guarantees are limited to the training distribution. To address this limitation, here we introduce a hybrid data augmentation strategy, termed expert augmentation. Based on a probabilistic formalization of hybrid modelling, we demonstrate that expert augmentation improves generalization. We validate the practical benefits of expert augmentation on a set of simulated and real-world systems described by classical mechanics.",,,['no_author_name']
478,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:Zph67rFs4hoC,"Hao Wang, Hsiang Hsu, Mario Diaz, Flavio P Calmon",to split or not to split: the impact of disparate treatment in classification,"Disparate treatment occurs when a machine learning model produces different decisions for individuals based on a legally protected or sensitive attribute (e.g., age, sex). In domains where prediction accuracy is paramount, it could potentially be acceptable to fit a model which exhibits disparate treatment. To evaluate the effect of disparate treatment, we compare the performance of split classifiers (i.e., classifiers trained and deployed separately on each group) with group-blind classifiers (i.e., classifiers which do not use a sensitive attribute). We introduce the benefit-of-splitting for quantifying the performance improvement by splitting classifiers. Computing the benefit-of-splitting directly from its definition could be intractable since it involves solving optimization problems over an infinite-dimensional functional space. Under different performance measures, we (i) prove an equivalent expression for the benefit-of …",,,['no_author_name']
479,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:_Qo2XoVZTnwC,"Feiyu Lu, Mengyu Chen, Hsiang Hsu, Pranav Deshpande, Cheng Yao Wang, Blair MacIntyre",adaptive 3d ui placement in mixed reality using deep reinforcement learning," Mixed Reality (MR) could assist users’ tasks by continuously integrating virtual content with their view of the physical environment. However, where and how to place these content to best support the users has been a challenging problem due to the dynamic nature of MR experiences. In contrast to prior work that investigates optimization-based methods, we are exploring how reinforcement learning (RL) could assist with continuous 3D content placement that is aware of users’ poses and their surrounding environments. Through an initial exploration and preliminary evaluation, our results demonstrate the potential of RL to position content that maximizes the reward for users on the go. We further identify future directions for research that could harness the power of RL for personalized and optimized UI and content placement in MR.",,,['no_author_name']
481,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:_kc_bZDykSQC,"Sungmin Cha, Hsiang Hsu, Taebaek Hwang, Flavio P Calmon, Taesup Moon",cpr: classifier-projection regularization for continual learning,"We propose a general, yet simple patch that can be applied to existing regularization-based continual learning methods called classifier-projection regularization (CPR). Inspired by both recent results on neural networks with wide local minima and information theory, CPR adds an additional regularization term that maximizes the entropy of a classifier's output probability. We demonstrate that this additional term can be interpreted as a projection of the conditional probability given by a classifier's output to the uniform distribution. By applying the Pythagorean theorem for KL divergence, we then prove that this projection may (in theory) improve the performance of continual learning methods. In our extensive experimental results, we apply CPR to several state-of-the-art regularization-based continual learning methods and benchmark performance on popular image recognition datasets. Our results demonstrate that CPR indeed promotes a wide local minima and significantly improves both accuracy and plasticity while simultaneously mitigating the catastrophic forgetting of baseline continual learning methods. The codes and scripts for this work are available at https://github.com/csm9493/CPR_CL.",,,['no_author_name']
483,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:dhFuZR0502QC,"Marguerite B Basta, Sarfaraz Hussein, Hsiang Hsu, Flavio P Calmon",automated segmentation and recurrence risk prediction of surgically resected lung tumors with adaptive convolutional neural networks,"Lung cancer is the leading cause of cancer related mortality by a significant margin. While new technologies, such as image segmentation, have been paramount to improved detection and earlier diagnoses, there are still significant challenges in treating the disease. In particular, despite an increased number of curative resections, many postoperative patients still develop recurrent lesions. Consequently, there is a significant need for prognostic tools that can more accurately predict a patient's risk for recurrence. In this paper, we explore the use of convolutional neural networks (CNNs) for the segmentation and recurrence risk prediction of lung tumors that are present in preoperative computed tomography (CT) images. First, expanding upon recent progress in medical image segmentation, a residual U-Net is used to localize and characterize each nodule. Then, the identified tumors are passed to a second CNN for recurrence risk prediction. The system's final results are produced with a random forest classifier that synthesizes the predictions of the second network with clinical attributes. The segmentation stage uses the LIDC-IDRI dataset and achieves a dice score of 70.3%. The recurrence risk stage uses the NLST dataset from the National Cancer institute and achieves an AUC of 73.0%. Our proposed framework demonstrates that first, automated nodule segmentation methods can generalize to enable pipelines for a wide range of multitask systems and second, that deep learning and image processing have the potential to improve current prognostic tools. To the best of our knowledge, it is the first fully automated segmentation and recurrence …",,,['no_author_name']
484,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:e5wmG9Sq2KIC,"Yizhuo Chen, Chun-Fu Chen, Hsiang Hsu, Shaohan Hu, Marco Pistoia, Tarek Abdelzaher",mass: multi-attribute selective suppression for utility-preserving data transformation from an information-theoretic perspective,"The growing richness of large-scale datasets has been crucial in driving the rapid advancement and wide adoption of machine learning technologies. The massive collection and usage of data, however, pose an increasing risk for people's private and sensitive information due to either inadvertent mishandling or malicious exploitation. Besides legislative solutions, many technical approaches have been proposed towards data privacy protection. However, they bear various limitations such as leading to degraded data availability and utility, or relying on heuristics and lacking solid theoretical bases. To overcome these limitations, we propose a formal information-theoretic definition for this utility-preserving privacy protection problem, and design a data-driven learnable data transformation framework that is capable of selectively suppressing sensitive attributes from target datasets while preserving the other useful attributes, regardless of whether or not they are known in advance or explicitly annotated for preservation. We provide rigorous theoretical analyses on the operational bounds for our framework, and carry out comprehensive experimental evaluations using datasets of a variety of modalities, including facial images, voice audio clips, and human activity motion sensor signals. Results demonstrate the effectiveness and generalizability of our method under various configurations on a multitude of tasks.",,,['no_author_name']
487,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:hFOr9nPyWt4C,Hsiang Hsu,information-theoretic tools for machine learning beyond accuracy,"For the past decades, information theory and machine learning have propelled each other forward. Information theory has provided mathematical tools to tackle emerging challenges in machine learning, such as lack of transparency and interpretability, privacy leakage, algorithmic bias, and predictive multiplicity. Meanwhile, machine learning has enabled new statistical techniques for computing and estimating information-theoretic metrics.",,,['no_author_name']
488,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:mB3voiENLucC,"Guihong Li, Hsiang Hsu, Chun-Fu Chen, Radu Marculescu",fast-ntk: parameter-efficient unlearning for large-scale models,"The rapid growth of machine learning has spurred legislative initiatives such as"" the Right to be Forgotten"" allowing users to request data removal. In response machine unlearning proposes the selective removal of unwanted data without the need for retraining from scratch. While the Neural-Tangent-Kernel (NTK) based unlearning method excels in performance it suffers from significant computational complexity especially for large-scale models and datasets. To improve this situation our work introduces"" Fast-NTK"" a novel NTK-based unlearning algorithm that significantly reduces the computational complexity by incorporating parameter-efficient fine-tuning methods such as fine-tuning batch normalization layers in a CNN or visual prompts in a vision transformer. Our experimental results demonstrate scalability to really large neural networks and datasets (eg 88M parameters and 5k images) surpassing the limitations of previous full-model NTK-based approaches designed for smaller cases (eg 8M parameters and 500 images). Notably our approach maintains a performance comparable to the traditional methods of retraining on the retain set alone. Fast-NTK can thus enable practical and scalable NTK-based unlearning in deep neural networks.",,,['no_author_name']
490,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JRl3iYIAAAAJ&sortby=pubdate&citation_for_view=JRl3iYIAAAAJ:zYLM7Y9cAGgC,"Shao-Chou Hung, Hsiang Hsu, Shao-Yu Lien, Kwang-Cheng Chen",architecture harmonization between cloud radio access networks and fog networks,"To guarantee the ubiquitous and fully autonomous Internet connections in our daily life, the new technical challenges of mobile communications lie on the efficient utilization of resource and social information. To facilitate the innovation of the fifth generation (5G) networks, the cloud radio access network (RAN) and fog network have been proposed to respond newly emerging traffic demands. The cloud RAN functions more toward centralized resource management to achieve optimal transmissions. The fog network takes advantage of social information and edge computing to efficiently alleviate the end-to-end latency. In this paper, we conduct a comprehensive survey of these two network structures, and then investigate possible harmonization to integrate both for the diverse needs of 5G mobile communications. We analytically study the harmonization of cloud RAN and fog network from various points of view …",,,['no_author_name']
491,JPMorganChase,/citations?view_op=view_citation&hl=en&user=JYwOdvEAAAAJ&sortby=pubdate&citation_for_view=JYwOdvEAAAAJ:2osOgNQ5qMEC,"Ash Booth, Enrico Gerding, Frank McGroarty",predicting equity market impact with performance weighted ensembles of random forests,"For many players in financial markets, the price impact of their trading activity represents a large proportion of their transaction costs. This paper proposes a novel machine learning method for predicting the price impact of order book events. Specifically, we introduce a prediction system based on performance weighted ensembles of random forests. The system’s performance is benchmarked against a variety of popular regression algorithms including: liner regression, regression trees, neural networks and support vector regression using depth-ofbook data from the BATS Chi-X exchange. The results show that recency-weighted ensembles of random forests produce over 15% greater prediction accuracy, for 5 out of 6 timeframes studied, compared with all other regression techniques.",,Ash Booth,['no_publication_date']
492,JPMorganChase,/citations?view_op=view_citation&hl=en&user=K1_MygkAAAAJ&sortby=pubdate&citation_for_view=K1_MygkAAAAJ:W7OEmFMy1HYC,"S Ganesh, N Vadori, M Xu, H Zheng, P Reddy, M Veloso",reinforcement learning for market making in a multi-agent dealer market. arxiv 2019,,,Mengda Xu,"['no_tags', 'no_publication_date']"
493,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:3fE2CSJIrl8C,,"the ai cloud race: how aws, google, and azure are competing for ai dominance",,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
494,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:4DMP91E08xMC,,kubernetes 1.30: enabling large-scale ai and machine learning pipelines,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
495,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:5nxA0vEk-isC,,serverless ai: building scalable ai applications without infrastructure overhead,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
497,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:9ZlFYXVOiuMC,,ai in healthcare: big data and machine learning applications,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
498,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:KlAtU1dfN6UC,,kubernetes at the edge: enabling ai and big data workloads in remote locations,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
499,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:YFjsv_pBGBYC,,kubernetes 1.27: enhancements for large-scale ai workloads,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
500,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:YOwf2qJgpHMC,,kubernetes operators for ai ml: simplifying machine learning workflows,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
502,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:_kc_bZDykSQC,,gpt-4 and beyond: the role of generative ai in data engineering,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
503,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:hC7cP41nSMkC,,real-time machine learning: how streaming platforms power ai models,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
504,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:hMod-77fHWUC,,snowpark: extending snowflake’s capabilities for machine learning,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
505,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:hqOjcs7Dif8C,,generative ai for data augmentation in machine learning,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
506,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:kNdYIx-mwKoC,,machine learning on kubernetes: scaling ai workloads,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
507,JPMorganChase,/citations?view_op=view_citation&hl=en&user=KMe1fgEAAAAJ&sortby=pubdate&citation_for_view=KMe1fgEAAAAJ:qUcmZB5y_30C,,foundation models: the new ai paradigm for big data analytics,,,Naresh Dulam,"['no_tags', 'no_authors', 'no_publication_date']"
508,JPMorganChase,/citations?view_op=view_citation&hl=en&user=MYz9dDUAAAAJ&sortby=pubdate&citation_for_view=MYz9dDUAAAAJ:qjMakFHDy7sC,"Zixian Zang, Maxime Kawawa-Beaudan, Wenhao Yu, Tingnan Zhang, Avideh Zakhor",perceptive hexapod legged locomotion for climbing joist environments,"Attics are one of the largest sources of energy loss in residential homes, but they are uncomfortable and dangerous for human workers to conduct air sealing and insulation. Hexapod robots are potentially suitable for carrying out those tasks in tight attic spaces since they are stable, compact, and lightweight. For hexapods to succeed in these tasks, they must be able to navigate inside tight attic spaces of single-family residential homes in the US, which typically contain rows of approximately 6 or 8-inch tall joists placed 16 inches apart from each other. Climbing over such obstacles is challenging for autonomous robotics systems. In this work, we develop a perceptive walking model for legged hexapods that can traverse over terrain with random joist structures using egocentric vision. Our method can be used on low-cost hardware not requiring real-time joint state feedback. We train our model in a teacher-student fashion with 2 phases: In phase 1, we use reinforcement learning with access to privileged information such as local elevation maps and joint feedback. In phase 2, we use supervised learning to distill the model into one with access to only onboard observations, consisting of egocentric depth images and robot orientation captured by a tracking camera. We demonstrate zero-shot sim-to-real transfer on a Hiwonder [1] SpiderPi robot, equipped with a depth camera onboard, climbing over joist courses we construct to simulate the environment in the field. Our proposed method achieves nearly 100% success rate climbing over the test courses, significantly outperforming the model without perception and the controller provided by the …",,Maxime Kawawa-Beaudan,['no_publication_date']
514,JPMorganChase,/citations?view_op=view_citation&hl=en&user=OWrALrAAAAAJ&sortby=pubdate&citation_for_view=OWrALrAAAAAJ:kNdYIx-mwKoC,"Dat Huynh, Elizabeth Fons, Svitlana Vyetrenko",few-shot learnable augmentation for financial time series prediction under distribution shifts,"We address the problem of distribution shift in financial time series prediction, where the behavior of the time series changes over time. Satisfactory performance of forecasting algorithms requires constant model recalibration or fine-tuning to adapt to the new data distribution. Specifically, the ability to quickly fine-tune a model with only a few training samples available from the new distribution is crucial for many business applications. In this paper, we develop a novel method for learnable data augmentation that effectively adjusts to the new time series distribution with only a few samples.  We demonstrate the effectiveness of our method compared to the state-of-the-art augmentation methods on both univariate time series (e.g., stock data) and multivariate time series (e.g., yield rate curves) in the presence of distribution shift due to the COVID market shock in 2020.",,Svitlana Vyetrenko,['no_publication_date']
516,JPMorganChase,/citations?view_op=view_citation&hl=en&user=P5-SRqUAAAAJ&sortby=pubdate&citation_for_view=P5-SRqUAAAAJ:RHpTSmoSYBkC,"Abteen Ebrahimi, Manuel Mager, Arturo Oncevay","enora rice, cynthia montaño, john ortega, shruti rijhwani, alexis palmer, rolando coto-solano, hilaria cruz, and katharina kann. 2023. findings of the americasnlp 2023 shared …",,,Arturo Oncevay,"['no_tags', 'no_publication_date']"
517,JPMorganChase,/citations?view_op=view_citation&hl=en&user=P5-SRqUAAAAJ&sortby=pubdate&citation_for_view=P5-SRqUAAAAJ:hMod-77fHWUC,"Luis Chiruzzo, Pavel Denisov, Alejandro Molina-Villegas, Silvia Fernández Sabido, Rolando Coto-Solano, Marvin Agüero-Torales, Aldo Alvarez, Samuel Canul-Yah, Lorena Hau-Ucán, Abteen Ebrahimi, Robert Pugh, Arturo Oncevay, Shruti Rijhwani, Katharina Von Der Wense, Manuel Mager",findings of the americasnlp 2024 shared task on the creation of educational materials for indigenous languages,"This paper presents the results of the first shared task about the creation of educational materials for three indigenous languages of the Americas. The task proposes to automatically generate variations of sentences according to linguistic features that could be used for grammar exercises. The languages involved in this task are Bribri, Maya, and Guarani. Seven teams took part in the challenge, submitting a total of 22 systems, obtaining very promising results.",,Arturo Oncevay,['no_tags']
518,JPMorganChase,/citations?view_op=view_citation&hl=en&user=Pcz8LmMAAAAJ&sortby=pubdate&citation_for_view=Pcz8LmMAAAAJ:HDshCWvjkbEC,"TOMA S DE LA ROSA, RUBE N SUA REZ, JAVIER ORTIZ, DANIEL BORRAJO, DAVID MANZANO",using automated planning for improving data mining processes,"This paper presents a distributed architecture for automating data mining (DM) processes using standard languages. DM is a difficult task that relies on an exploratory and analytic process of processing large quantities of data in order to discover meaningful patterns. The increasing heterogeneity and complexity of available data requires some expert knowledge on how to combine the multiple and alternative DM tasks to process the data. Here, we describe DM tasks in terms of Automated Planning, which allows us to automate the DM knowledge flow construction. The work is based on the use of standards that have been defined in both DM and automatedplanning communities. Thus, we use PMML (Predictive Model Markup Language) to describe DM tasks. From the PMML, a problem description in PDDL (Planning Domain Definition Language) can be generated, so any current planning system can be used to generate a plan. This plan is, again, translated to a DM workflow description, Knowledge Flow for Machine Learning format (Knowledge Flow file for the WEKA (Waikato Environment for Knowledge Analysis) tool), so the plan or DM workflow can be executed in WEKA.",,Tomás de la Rosa,['no_publication_date']
519,JPMorganChase,/citations?view_op=view_citation&hl=en&user=RO60Yv0AAAAJ&sortby=pubdate&citation_for_view=RO60Yv0AAAAJ:4DMP91E08xMC,"Yangang Liu, Nathan Urban, Shinjae Yoo, Meifeng Lin, Tao Zhang, Xin Zhou, Yunpeng Shan, Chenxiao Xu, Satoshi Endo, Wuyin Lin, Anthony Degennaro, Vanessa-Lopez Marrero",building an ai-enhanced modeling framework to address multiscale predictability challenges,"Focal Area(s): Build an AI-enhanced modeling framework that integrates the three focus areas in the solicitation. Science Challenge: The 4M-2N complexities (Multiscale, Multiphysics, Multibody, Multidimension, Non-linearity, and Non-Gaussianality) of atmospheric aerosol-cloud-precipitation-turbulence-radiation system poses physical and computational challenges to further advance predictive models; We plan to address the challenges by developing an AI-enhanced modeling framework that facilitates automated calibration and improvement of subgrid parameterizations, enhance data assimilation of measurements to improve initial and boundary conditions used to drive the physical model, and optimally blends data-driven and physics-based forecasting models.",['excluded_keywords'],Chenxiao Xu,['excluded_tags']
520,JPMorganChase,/citations?view_op=view_citation&hl=en&user=RQRO-NEAAAAJ&sortby=pubdate&citation_for_view=RQRO-NEAAAAJ:R3hNpaxXUhUC,"Yue Zhang, Wanying Ding, Ran Xu, Xiaohua Hu",visual emotion representation learning via emotion-aware pre-training,"Despite recent progress in deep learning, visual emotion recognition remains a challenging problem due to the ambiguity of emotion perception, diverse concepts related to visual emotion, and lack of large-scale annotated datasets. In this paper, we present a large-scale multimodal pre-training method to learn visual emotion representation by aligning emotion, object, and attribute triplet with a contrastive loss. We conduct our pre-training on a large web dataset with noisy tags and fine-tune on smaller visual emotion classification datasets with class label supervision. Our method achieves stateof-the-art performance for visual emotion classification.",,Wanying Ding,['no_publication_date']
526,JPMorganChase,/citations?view_op=view_citation&hl=en&user=RQRO-NEAAAAJ&sortby=pubdate&citation_for_view=RQRO-NEAAAAJ:aqlVkmm33-oC,Wanying Ding,similarity dependency dirichlet process for aspect-based sentiment analysis wanying ding xiaoli song yue shang junhuan zhu lifan guo xiaohua hu,"Aspect-base Sentiment Analysis is a core component in Review Recommendation System. With the booming of customers’ reviews online, an efficient sentiment analysis algorithm will substantially enhance a review recommendation system’s performance, providing users with more helpful and informative reviews. Recently, two kinds of LDA derived models, namely Word Model and Phrase Model, take the dominant positions in this field. However, the requirement of exact aspect number underlies the usability and flexibility of these LDA extended models. Although, Dirichlet Process (DP), which can help to automatically generate the number of aspects, has been on trial, its random word assignment mechanism makes the result unsatisfying. This paper proposes a model named Similarity Dependency Dirichlet Process (SDDP) to cope with the above problems. SDDP inherits the merits of DP to automatically determine the number of aspects, but it exploits the semantic similarities between words to infer aspects and sentiments, alleviating the random assignment problem in DP. Furthermore, based on SDDP, this paper builds a word model W-SDDP and a phrase model P-SDDP respectively to detect aspects and sentiments from two different perspectives. Finally we experiment both our two models on 6 datasets, and compare with other 6 currently most popular models. The result shows that both W-SDDP and P-SDDP outperform the other 6 models, indicating SDDP is a promising model for sentiment analysis.",,Wanying Ding,['no_publication_date']
527,JPMorganChase,/citations?view_op=view_citation&hl=en&user=SDmtv80AAAAJ&sortby=pubdate&citation_for_view=SDmtv80AAAAJ:IjCSPb-OGe4C,"Antonios Georgiadis, Varun Babbar, Fran Silavong, Sean Moran, Rob Otter",st-fl: style transfer preprocessing in federated learning,"• Due to stringent privacy laws, the sharing of confidential data (such as CT scans that can potentially be used to identify patients) between institutions and countries is fraught with difficulties, and is generally considered impossible.• Federated learning solves the problem of how to learn a single model based on data that is locked away in data silos without revealing per-client private data to other clients or the central server.• In FL, only the model weights are shared between clients and a central server (where they are averaged) during training and not the actual training data, which is considered private and highly confidential.",,Antonios Georgiadis,['no_publication_date']
528,JPMorganChase,/citations?view_op=view_citation&hl=en&user=TDU1C9QAAAAJ&sortby=pubdate&citation_for_view=TDU1C9QAAAAJ:2osOgNQ5qMEC,"Sivapriya Vellaichamy, Matthew Hull, Zijie J Wang, Nilaksh Das, ShengYun Peng, Haekyu Park, Duen Horng Polo Chau",detectordetective: investigating the effects of adversarial examples on object detectors,"With deep learning based systems performing exceedingly well in many vision-related tasks, a major concern with their widespread deployment especially in safety-critical applications is their susceptibility to adversarial attacks. We propose DetectorDetective, an interactive visual tool that aims to help users better understand the behaviors of a model as adversarial images journey through an object detector. DetectorDetective enables users to easily learn about how the three key modules of the Faster R-CNN object detector--Feature Pyramidal Network, Region Proposal Network, and Region Of Interest Head--respond to a user-selected benign image and its adversarial version. Visualizations about the progressive changes in the intermediate features among such modules help users gain insights into the impact of adversarial attacks, and perform side-by-side comparisons between the benign and adversarial responses. Furthermore, DetectorDetective displays saliency maps for the input images to comparatively highlight image regions that contribute to attack success. DetectorDetective complements adversarial machine learning research on object detection by providing a user-friendly interactive tool for inspecting and understanding model responses. DetectorDetective is available at the following public demo link: https://poloclub. github. io/detector-detective. A video demo is available at https://youtu. be/5C3Klh87CZI.",,,['no_author_name']
